"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Inserts multiple records into the test table.","22","TC-DM-003 Insert Multiple Test Records","","2026-07-30","passed","2026-07-30","Test Data Setup","Database","",""
"Verifies that response body contains accessToken key.","209","TC-VAL-API-005 Validate Response Body Contains Key","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Reads a single record by its primary key.","25","TC-CRUD-003 Read Record By Id","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies that an element becomes enabled.","788","TC-INT-011 Wait For Element To Be Enabled","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that response status code is returned correctly.","180","TC-CLI-003 Get Response Status Code","","2026-07-30","passed","2026-07-30","Test Api Client","Api","",""
"Verifies that connection details are logged correctly.","5","TC-QL-007 Log Connection Details","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies that the log file is archived.","8","TC-FL-010 Archive Log File","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that a known user exists in the database.","7","TC-VAL-001 Verify Record Exists In Users Table","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies that resource load times are returned.","778","TC-PERF-005 Get Resource Load Times","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that an error summary is logged at the end.","10","TC-ERR-007 Log Error Summary","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that page scrolls to the bottom.","771","TC-NAV-006 Scroll To Bottom","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that the login response is received.","1308","TC-NET-002 Wait For Response","","2026-07-30","passed","2026-07-30","Test Network","Ui","",""
"Verifies that multiple form fields can be filled at once.","888","TC-FORM-010 Fill Form With Data","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that email field is required by submitting empty form.","952","TC-FORM-006 Verify Form Field Is Required","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies skipped test is logged correctly.","5","TC-EL-027 Log Skipped Test","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Deletes a specific record from the test table.","15","TC-DM-005 Cleanup Single Test Record","","2026-07-30","passed","2026-07-30","Test Data Setup","Database","",""
"Verifies that text can be cleared and retyped.","890","TC-INT-003 Clear And Type Text","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies scrolling to a specific element.","808","TC-NAV-014 Scroll To Element","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that a log file is created successfully.","8","TC-FL-001 Create Log File","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that API configuration can be reset to defaults.","9","TC-CFG-008 Reset API Configuration","","2026-07-30","passed","2026-07-30","Test Api Config","Api","",""
"Verifies that login form can be submitted.","925","TC-FORM-014 Submit Login Form","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that elapsed time is returned after stopping timer.","1765","TC-PERF-010 Get Elapsed Time","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that form can be submitted via submit keyword.","3972","TC-FORM-017 Submit Form","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that an element screenshot is taken successfully.","1011","TC-VIS-002 Take Element Screenshot","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Creates a new test user in the users table.","17","TC-CRUD-006 Create A New User","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies successful login redirects to dashboard.","4518","TC-FORM-015 Verify Login Success","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies multiple column values for a specific user.","12","TC-VAL-008 Verify Multiple Column Values","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies that tab count matches expected number.","4341","TC-MC-010 Verify Tab Count","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that slow resources are detected correctly.","765","TC-PERF-006 Get Slow Resources","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that a database connection error is logged.","11","TC-ERR-004 Log Connection Error","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that a SQL query is logged correctly.","10","TC-QL-001 Log Database Query","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies that the current URL is returned correctly.","790","TC-NAV-003 Get Current URL","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that key login page elements are visible.","791","TC-VIS-008 Verify Page Layout","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that form field value is returned correctly.","881","TC-FORM-003 Get Form Field Value","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that bearer token authentication can be configured.","546","TC-AUTH-001 Set Bearer Token","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Verifies that auth type is API_KEY after configuration.","6","TC-AUTH-007 Get Auth Type API Key","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Verifies that the page URL contains expected text.","773","TC-VAL-UI-013 Verify Page URL Contains","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that two screenshots can be compared.","1626","TC-VIS-005 Compare Screenshots","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies that a screenshot is taken successfully.","1591","TC-UI-005 Take Page Screenshot","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies browser back and forward navigation.","3062","TC-NAV-009 Go Back And Forward","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that cookies are retrieved from the browser.","1173","TC-UI-007 Get Browser Cookies","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies keyword duration is logged correctly.","5","TC-EL-021 Log Keyword Duration","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that element attribute is returned correctly.","795","TC-VAL-UI-007 Get Element Attribute","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that page scrolls by a specific amount.","788","TC-NAV-008 Scroll By","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Overrides connection parameters at runtime and reconnects.","57","TC-CON-004 Reconfigure And Reconnect With Custom Parameters","","2026-07-30","passed","2026-07-30","Test Connection","Database","",""
"Verifies that storage state can be retrieved.","4490","TC-MC-012 Get Context Storage State","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that an execution report is generated.","8","TC-FL-009 Generate Execution Report","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies selecting an option from dropdown by index.","817","TC-INT-013 Select Option By Index","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
